流水,華語,台語,台羅,備存對照
133,七字調,七字仔,tshit-jī-á/tshit-lī-á,99
134,七早八早,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,103
135,七老八十,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,106
136,七股鄉,七股區,Tshit-kóo-khu,35234
137,七股寮,七股寮,Tshit-kóo-liâu,40005
138,七星,七星,tshit-tshenn/tshit-tshinn,121
139,七星山,七星山,Tshit-tshenn-suann/Tshit-tshinn-suann,32003
140,七星鱧,鮕鮘,koo-tai,12157
141,七美鄉,七美鄉,Tshit-bí-hiong,35350
142,七堵,七堵,Tshit-tóo,34116
143,七堵區,七堵區,Tshit-tóo-khu,35353
144,七張,七張,Tshit-tiunn,36039
145,七爺,七爺,Tshit-iâ,153
146,七竅,七孔,tshit-khóng,83
147,九,九,káu,48
148,九,九,kiú,49
149,九孔,九孔,káu-kháng,84
150,九份二山,九份二山,Káu-hūn-jī-suann,32001
151,九如鄉,九如鄉,Kiú-jû-hiong,35287
152,九曲堂,九曲堂,Kiú-khiok-tông,34095
153,九芎林,九芎林,Kiú-kiong-nâ,40004
154,九芎樹,九芎仔,kiú-kiong-á,111
155,九泉,黃泉,hông-tsuân,9278
156,九塊厝,九塊厝,Káu-tè-tshù,40008
157,九層塔,九層塔,káu-tsàn-thah,157
158,九齒扇蝦,蝦蛄擗仔,hê-koo-phia̍k-á,11373
159,九讚頭,九讚頭,Káu-tsàn-thâu,34214
160,了,矣,--ah,3350
161,了不起,了不起,liáu-put-khí,52906
162,了不得,不得了,put-tik-liáu,719
163,了結,了結,liáu-kiat,53919
164,了解,了解,liáu-kái,50035
165,二,二,jī/lī,51
166,二,兩,nn̄g,3599
167,二二八公園,二二八公園,Jī-jī-pat Kong-hn̂g,33001
168,二八水,二八水,Jī-pat-tsuí,40001
169,二十一,廿一,jia̍p-it/lia̍p-it,827
170,二十四小時,一對時,tsi̍t-tuì-sî,38
171,二仁溪,二仁溪,Jī-jîn-khe,38042
172,二手,二手,jī-tshiú/lī-tshiú,85
173,二手貨,二手貨,jī-tshiú-huè/lī-tshiú-hè,53920
174,二水鄉,二水鄉,Jī-tsuí-hiong,35156
175,二竹圍,二竹圍,Jī-tik-uî,40002
176,二房,二房,jī-pâng/lī-pâng,115
177,二拇指,指指,kí-tsáinn,5040
178,二林鎮,二林鎮,Jī-lîm-tìn,35158
179,二砂,赤砂,tshiah-sua,3456
180,二氧化碳,二氧化碳,jī-ióng-huà-thuànn,53921
181,二崙仔,二崙仔,Jī-lūn-á,40007
182,二崙鄉,二崙鄉,Jī-lūn-hiong,35190
183,二期稻作,慢冬,bān-tang,10542
184,二結,二結,Jī-kiat,34137
185,二萬坪,二萬坪,Jī-bān-pênn,34241
186,人,人,jîn/lîn,52
187,人,人,lâng,53
188,人,人頭,lâng-thâu,163
189,人人,人人,lâng-lâng,69
190,人力,人工,lâng-kang,78
191,人力,人事,jîn-sū/lîn-sū,112
192,人力,跤手,kha-tshiú,10095
193,人力,人力,jîn-li̍k/lîn-li̍k,50494
194,人力車,牽車,khan-tshia,7616
195,人口,人口,jîn-kháu/lîn-kháu,50231
196,人士,人士,jîn-sū/lîn-sū,50063
197,人工,人工,lâng-kang,78
198,人工水路,水圳,tsuí-tsùn,911
199,人才,料,liāu,6025
200,人不兇,袂歹,bē pháinn/buē pháinn,6657
201,人中,人中,jîn-tiong/lîn-tiong,82
202,人心,人心,jîn-sim/lîn-sim,52324
203,人手,跤手,kha-tshiú,10095
204,人文,人文,jîn-bûn/lîn-bûn,52325
205,人世,人世,jîn-sè/lîn-sè,53356
206,人民,人民,jîn-bîn/lîn-bîn,93
207,人民,民,bîn,1670
208,人民,民眾,bîn-tsiòng,1774
209,人生,人生,jîn-sing/lîn-sing,94
210,人次,人次,jîn-tshù/lîn-tshù,52326
211,人身,人身,jîn-sin/lîn-sin,50956
212,人事,人事,jîn-sū/lîn-sū,112
213,人事局,人事局,Jîn-sū-kio̍k/Lîn-sū-kio̍k,53922
214,人命,人命,lâng-miā,51923
215,人和,人和,jîn-hô/lîn-hô,53923
216,人性,人性,jîn-sìng/lîn-sìng,51022
217,人物,人物,jîn-bu̍t/lîn-bu̍t,116
218,人品,人範,lâng-pān,158
219,人品,品行,phín-hīng,4803
220,人為,人為,jîn-uî/lîn-uî,52327
221,人倫,人倫,jîn-lûn/lîn-lûn,128
222,人員,人員,jîn-uân/lîn-uân,129
223,人格,人格,jîn-keh/lîn-keh,136
224,人格,品行,phín-hīng,4803
225,人氣,人望,jîn-bōng/lîn-bōng,145
226,人脈,人面,lâng-bīn,127
227,人馬,人馬,jîn-má/lîn-má,139
228,人偶,尪仔,ang-á,3069
229,人參,人參,jîn-sim/lîn-sim,141
230,人參,參仔,sim-á,7056
231,人情,人情,jîn-tsîng/lîn-tsîng,142
232,人情世故,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,143
233,人望,人氣,jîn-khì/lîn-khì,137
234,人造,人造,jîn-tsō/lîn-tsō,146
235,人間,人間,jîn-kan/lîn-kan,50761
236,人煙罕至,揜貼,iap-thiap,13638
237,人群,人群,jîn-kûn/lîn-kûn,53357
238,人道,人道,jîn-tō/lîn-tō,53924
239,人壽,人壽,jîn-siū/lîn-siū,52328
240,人種,人種,jîn-tsióng/lîn-tsióng,52907
241,人際,人際,jîn-tsè/lîn-tsè,51104
242,人影,人影,lâng-iánn,156
243,人數,人員,jîn-uân/lîn-uân,129
244,人數,人頭,lâng-thâu,163
245,人數,人數,jîn-sòo/lîn-sòo,50808
246,人潮,人潮,jîn-tiâu/lîn-tiâu,50957
247,人緣,人氣,jîn-khì/lîn-khì,137
248,人緣,人緣,lâng-iân,159
249,人緣好,有人緣,ū-lâng-iân,2465
250,人質,人質,jîn-tsit/lîn-tsit,52102
251,人選,人選,jîn-suán/lîn-suán,50478
252,人頭,人頭,lâng-thâu,163
253,人類,人類,jîn-luī/lîn-luī,50149
254,人權,人權,jîn-khuân/lîn-khuân,168
255,人體,人體,jîn-thé/lîn-thé,50275
256,入,入,ji̍p/li̍p,54
257,入口,進口,tsìn-kháu,9133
258,入口,輸入,su-ji̍p/su-li̍p,11990
259,入口,入口,ji̍p-kháu/li̍p-kháu,51924
260,入土,入土,ji̍p-thóo/li̍p-thóo,80
261,入主,入主,ji̍p-tsú/li̍p-tsú,51266
262,入伍,入伍,ji̍p-ngóo/li̍p-ngóo,53358
263,入耳,入耳,ji̍p-ní/li̍p-ní,104
264,入股,入股,ji̍p-kóo/li̍p-kóo,51023
265,入門,入門,ji̍p-mn̂g/li̍p-mn̂g,118
266,入侵,入侵,ji̍p-tshim/li̍p-tshim,51603
267,入座,坐桌,tsē-toh,3051
268,入眠,落眠,lo̍h-bîn,9963
269,入院,入院,ji̍p-īnn/li̍p-īnn,140
270,入喉,落喉,lo̍h-âu,9977
271,入圍,入圍,ji̍p-uî/li̍p-uî,51925
272,入場,入場,ji̍p-tiûnn/li̍p-tiûnn,149
273,入場券,門票,mn̂g-phiò,4625
274,入會,入會,ji̍p-huē/li̍p-huē,53925
275,入境,入境,ji̍p-kíng/li̍p-kíng,53926
276,入獄,坐監,tsē-kann,3058
277,入獄,入獄,ji̍p-ga̍k/li̍p-ga̍k,52908
278,入學,入學,ji̍p-o̍h/li̍p-o̍h,160
279,入選,入選,ji̍p-suán/li̍p-suán,161
280,入殮,入木,ji̍p-bo̍k/li̍p-bo̍k,86
281,入殮,入殮,ji̍p-liām/li̍p-liām,165
282,入聲,入聲,ji̍p-siann/li̍p-siann,166
283,八,八,pat,55
284,八,八,peh/pueh,56
285,八月半,中秋,Tiong-tshiu,691
286,八月半,中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,693
287,八月節,中秋,Tiong-tshiu,691
288,八月節,中秋節,Tiong-tshiu-tseh/Tiong-tshiu-tsueh,693
289,八仙,八仙,pat-sian,87
290,八仙桌,八仙桌,pat-sian-toh,89
291,八仙綵,八仙綵,pat-sian-tshái,90
