流水,華語,台語,台羅,備存對照
8303,到達車站,到站,kàu-tsām,3674
8304,到達標準,夠分,kàu-hun,7110
8305,到頭來,歸尾,kui-bué/kui-bé,7884
8306,到頭來,落尾手,lo̍h-bué-tshiú/lo̍h-bé-tshiú,9934
8307,制,制,tsè,3608
8308,制止,阻止,tsóo-tsí,4530
8309,制式,制式,tsè-sik,53036
8310,制定,制定,tsè-tīng,3657
8311,制服,制服,tsè-ho̍k,3659
8312,制度,制度,tsè-tōo,3662
8313,制裁,制裁,tsè-tshâi,53551
8314,刷,抿,bín,3961
8315,刷,摖,tshè/tshuè,10534
8316,刷,鑢,lù,13309
8317,刷子,抿,bín,3961
8318,刷子,抿仔,bín-á,4006
8319,刷子,棕鑢仔,tsang-lù-á,8541
8320,刷子,摖,tshè/tshuè,10534
8321,刷牙,洗喙,sé-tshuì/sué-tshuì,5171
8322,刷洗,摖,tshè/tshuè,10534
8323,刷洗,鑢,lù,13309
8324,券,券,kǹg,3609
8325,券,券,kuàn,3610
8326,券商,券商,kuàn-siong,50630
8327,刺,扦,tshuann,2444
8328,刺,刺,tshì,3611
8329,刺,刺,tshiah,3612
8330,刺,揬,tu̍h,8435
8331,刺,黜,thuh ,12483
8332,刺,鑿,tsha̍k,13448
8333,刺,揻,ui,13472
8334,刺竹,刺竹,tshì-tik,3646
8335,刺竹筍,刺竹筍,tshì-tik-sún,3647
8336,刺耳,破雞筅,phuà-ke-tshíng/phuà-kue-tshíng,6441
8337,刺刺,鑿鑿,tsha̍k-tsha̍k,13466
8338,刺青,刺字,tshiah-jī/tshiah-lī,3645
8339,刺青,刺花,tshiah-hue,3661
8340,刺破,撞破,tōng-phuà,11106
8341,刺探,刺探,tshì-thàm,3678
8342,刺殺,刺殺,tshì-sat,53035
8343,刺眼,鑿目,tsha̍k-ba̍k,13452
8344,刺痛,砧,tiam,6399
8345,刺痛,豉,sīnn,7874
8346,刺激,刺激,tshì-kik,3693
8347,刺繡,刺花,tshiah-hue,3661
8348,刺繡,刺繡,tshiah-siù,3697
8349,刺鯧,肉魚仔,bah-hî-á/bah-hû-á,2746
8350,刺鯧,肉鯽仔,bah-tsit-á,2830
8351,刺癢,刺疫,tshiah-ia̍h,3664
8352,刺癢,刺鑿,tshì-tsha̍k,3700
8353,刻,刻,khik,3613
8354,刻印,刻印仔,khik-ìn-á,3643
8355,刻板,死板,sí-pán,2502
8356,刻板,刻板,khik-pán,52160
8357,刻章,刻印仔,khik-ìn-á,3643
8358,刻意,刁意故,thiau-ì-kòo,152
8359,刻薄,刻薄,khik-po̍k,53550
8360,剁,刐,táinn,2114
8361,剁,剁,tok,3614
8362,剁,鏨,tsām,12934
8363,卑劣,卑鄙,pi-phí,3689
8364,卑南,卑南,Pi-lâm,40098
8365,卑南主山,卑南主山,Pi-lâm-tsú-suann,32027
8366,卑南鄉,卑南鄉,Pi-lâm-hiong,35317
8367,卑南溪,卑南溪,Pi-lâm-khe,38053
8368,卑鄙,卑鄙,pi-phí,3689
8369,卑賤,卑賤,pi-tsiān,3692
8370,卒,卒,tsut,3616
8371,卒,卒仔,tsut-á,3637
8372,卓,卓,Toh,41075
8373,卓溪鄉,卓溪鄉,Toh-khe-hiong,35343
8374,卓蘭鎮,卓蘭鎮,Toh-lân-tìn,35104
8375,協力,合力,ha̍p-li̍k,2140
8376,協力,協力,hia̍p-li̍k,3627
8377,協同,協同,hia̍p-tông,3642
8378,協助,協助,hia̍p-tsōo,3652
8379,協定,協定,hia̍p-tīng,52684
8380,協約,協約,hia̍p-iok,3665
8381,協商,推撨,tshui-tshiâu,7430
8382,協商,協商,hia̍p-siong,50541
8383,協理,協理,hia̍p-lí,53552
8384,協會,協會,hia̍p-huē,3684
8385,協調,協調,hia̍p-tiau,3691
8386,協辦,協辦,hia̍p-pān,3695
8387,協議,協議,hia̍p-gī,3698
8388,協議,商量,siong-liông,7079
8389,卦,卦,kuà,3617
8390,卷,卷,kńg,3618
8391,卷,卷,kuàn,3619
8392,卷宗,卷宗,kuàn-tsong,3658
8393,卸,卸,sià,3620
8394,卸,落,làu,9893
8395,卸任,卸任,sià-jīm/sià-līm,53553
8396,卸貨,卸貨,sià-huè/sià-hè,3679
8397,卸責,卸責任,sià-tsik-jīm/sià-tsik-līm,3680
8398,叔,叔,tsik,3621
8399,叔公,叔公,tsik-kong,3631
8400,叔父,阿叔,a-tsik,4566
8401,叔母,阿嬸,a-tsím,4672
8402,叔侄,叔孫,tsik-sun,3668
8403,叔叔,阿叔,a-tsik,4566
8404,叔叔,阿叔仔,a-tsik-á,4567
8405,取,取,tshú,3622
8406,取,挈,khe̍h,5978
8407,取水,上水,tshiūnn-tsuí,258
8408,取代,取代,tshú-tāi,50384
8409,取名,號名,hō-miâ,10010
8410,取直線,掠直,lia̍h-ti̍t,7378
8411,取近捨遠,就近,tsiū-kīn/tsiū-kūn,8329
8412,取長補短,掠長補短,lia̍h-tn̂g-póo-té,7379
8413,取消,吊,tiàu,2124
8414,取消,取消,tshú-siau,3672
8415,取消,銷,siau,11546
8416,取得,取得,tshú-tit,50461
8417,取景,取景,tshú-kíng,52685
8418,取暖,𤲍燒,kheh-sio/khueh-sio,13577
8419,取締,取締,tshú-tè,3690
8420,受,受,siū,3623
8421,受不了,袂堪得,bē-kham-tit/buē-kham-tit,6679
8422,受刑人,受刑人,siū-hîng-jîn/siū-hîng-lîn,51647
8423,受困,受困,siū-khùn,53037
8424,受洗,入教,ji̍p-kàu/li̍p-kàu,144
8425,受苦,受苦,siū-khóo,3666
8426,受限,受限,siū-hān,51807
8427,受害,受害,siū-hāi,3669
8428,受害者,受害者,siū-hāi-tsiá,52409
8429,受益,受益,siū-ik,54112
8430,受訓,受訓,siū-hùn,51970
8431,受託人,受託人,siū-thok-jîn/siū-thok-lîn,51969
8432,受得了,會堪得,ē-kham-tit,9642
8433,受理,受理,siū-lí,53038
8434,受傷,著傷,tio̍h-siong,9043
8435,受傷,受傷,siū-siong,50631
8436,受罪,受罪,siū-tsuē,3686
8437,受影響,汰,thuā,3294
8438,受難,受苦,siū-khóo,3666
8439,受難,著災,tio̍h-tse,9027
8440,受難,受難,siū-lān,53554
8441,受騙,受騙,siū-phiàn,54113
8442,受露,凍露水,tàng-lōo-tsuí,5806
8443,受驚,著驚,tio̍h-kiann,9054
8444,受驚,搭嚇,tah-hiannh,9586
8445,受驚嚇,著生驚,tio̍h-tshenn-kiann/tio̍h-tshinn-kiann,9025
8446,呢,呢,--neh,3702
8447,呢,咧,--leh,4786
8448,呢,哩,--lih,5813
8449,周刊,周刊,tsiu-khan,53555
8450,周全,周全,tsiu-tsuân,3723
8451,周全,周至,tsiu-tsì,3724
8452,周全,周密,tsiu-bi̍t,3746
8453,周全,萬全,bān-tsuân,9926
8454,周年忌日,對年,tuì-nî,10490
8455,周到,周至,tsiu-tsì,3724
8456,周到,周到,tsiu-tò,3726
8457,周到,夠工,kàu-kang,7107
8458,周密,周全,tsiu-tsuân,3723
8459,周密,周密,tsiu-bi̍t,3746
8460,周圍,四箍輾轉,sì-khoo-liàn-tńg,1602
8461,周圍,周圍,tsiu-uî,3749
8462,周詳,周詳,tsiu-siông,54115
8463,周遭,四箍輾轉,sì-khoo-liàn-tńg,1602
8464,周轉,轉踅,tńg-se̍h,12674
8465,周轉,周轉,tsiu-tsuán,52410
8466,周邊,四邊,sì-pinn,1637
8467,周邊,周邊,tsiu-pinn ,50825
8468,呱呱叫,削削叫,siah-siah-kiò,4739
8469,呱譟,火雞母,hué-ke-bó/hé-kue-bó,1301
8470,味素,味素,bī-sòo,3741
8471,味素,味素粉,bī-sòo-hún,3742
8472,味道,味,bī,3703
8473,味道,氣味,khì-bī,6193
8474,味道,滋味,tsu-bī,8630
8475,味道,鹹汫,kiâm-tsiánn,13093
8476,味道不合,扴味,ke̍h-bī,3180
8477,味道不好,䆀味,bái bī,13554
8478,味道很鹹,鹹篤篤,kiâm-tok-tok,13112
8479,味精,味素,bī-sòo,3741
8480,味精,味素粉,bī-sòo-hún,3742
8481,味噌,豆醬,tāu-tsiùnn,3524
8482,味噌湯,豆醬湯,tāu-tsiùnn-thng,3525
8483,味覺,味覺,bī-kak,54114
8484,呵癢,擽呧,ngiau-ti,12527
8485,呸,呸,phuì,3704
8486,呻,呻,tshan,3705
8487,呻吟,哼,hainn,5820
8488,呻吟聲,哼哼叫,hainn-hainn-kiò,5853
8489,呼,呼,hoo,3706
8490,呼,呼,khoo,3707
8491,呼天搶地,哀爸叫母,ai-pē-kiò-bú,4809
8492,呼天搶地,哭爸哭母,khàu-pē-khàu-bú,5848
8493,呼叫,呼叫,hoo-kiò,51808
8494,呼吸,喘氣,tshuán-khuì,8236
8495,呼吸急促,大心氣,tuā-sim-khuì,275
8496,呼音,呼音,hoo-im,3735
8497,呼喊,叫,kiò,1412
8498,呼應,呼應,hoo-ìng,53039
8499,呼聲,呼聲,hoo-siann,52686
8500,呼雞聲,喌,tsû,8195
8501,呼籲,呼籲,hoo-io̍k,3767
8502,命,命,bīng,3708
8503,命,命,miā,3709
8504,命令,命令,bīng-līng,3719
8505,命名,號名,hō-miâ,10010
8506,命好而坐享清福,食命,tsia̍h-miā,5616
8507,命案,命案,miā-àn,3739
8508,命理,命理,miā-lí,52687
8509,命運,命運,miā-ūn,3756
8510,命運,氣運,khì-ūn,6230
8511,命運,氣數,khì-sòo,6234
8512,命運,運命,ūn-miā,10221
8513,命運,運途,ūn-tôo,10248
8514,命運坎坷,歹命人,pháinn-miā-lâng,968
8515,命數,運途,ūn-tôo,10248
8516,命題,命題,bīng-tê/bīng-tuê,3764
8517,咀嚼,卯,mauh,1404
8518,咀嚼,哺,pōo,5819
8519,咂舌,觸舌,tak-tsi̍h,13052
8520,和,交,kiau,2050
8521,和,共,kāng,2110
8522,和,佮,kah,3538
8523,和,佮,kap,3539
8524,和,和,hām,3712
8525,和,和,hô,3713
8526,和,參,tsham,7035
8527,和仁,和仁,Hô-jîn,34151
8528,和平,和平,hô-pîng,3721
8529,和平鄉,和平區,Hô-pîng-khu,35137
8530,和平溪,和平溪,Hô-pîng-khe,38067
8531,和好,和好,hô-hó,54754
8532,和尚,和尚,huê-siūnn,3730
8533,和尚洲,和尚洲,Huê-siūnn-tsiu,40099
8534,和美鎮,和美鎮,Hô-bí-tìn,35141
8535,和氣,和氣,hô-khì,3740
8536,和氣,和睦,hô-bo̍k,3754
8537,和善,仁慈,jîn-tsû/lîn-tsû,753
8538,和善,和氣,hô-khì,3740
8539,和順,和順,hô-sūn,3752
8540,和睦,和睦,hô-bo̍k,3754
8541,和解,和解,hô-kái,3755
8542,和諧,和諧,hô-hâi,50921
8543,咒,咒,tsiù,3714
8544,咒人去死,路旁屍,lōo-pông-si,10233
8545,咒罵,咒讖,tsiù-tshàm,3766
8546,咒罵,詈,lé/lué,9056
8547,咕,咯,ko̍k,4790
8548,咕咕叫,拍咯雞,phah-ko̍k-ke,4062
8549,咖哩,咖哩,ka-lí,3737
8550,咖啡,咖啡,ka-pi,3743
8551,咖啡色,咖啡色,ka-pi-sik,3744
8552,咖啡色,塗色,thôo-sik,9401
8553,咚,丼,tôm,1306
8554,固定,固定,kòo-tīng,3731
8555,固定售價,死豬仔價,sí-ti-á-kè/sí-tu-á-kè,2574
8556,固執,固執,kòo-tsip,3745
8557,固執的,鐵齒銅牙槽,thih-khí tâng-gê-tsô,13195
8558,固然,雖然,sui-jiân/sui-liân,12476
8559,固然,固然,kòo-jiân/kòo-liân,50922
8560,坦白,坦白,thán-pi̍k,3722
8561,坦克車,戰車,tsiàn-tshia,11698
8562,坦率,坦白,thán-pi̍k,3722
8563,坦率,條直,tiâu-ti̍t,7509
8564,坦然,坦然,thán-jiân/thán-liân,51971
8565,坪,坪,pênn/pînn,3717
8566,坪林尾,坪林尾,Pînn-nâ-bé,40100
8567,坪林鄉,坪林區,Pînn-nâ-khu,35046
8568,坪數,坪數,pênn-sòo/pînn-sòo,51515
8569,坯,坯,phue/phe,3718
8570,坯料,粗坯,tshoo-phue/tshoo-phe,7770
8571,垃圾,糞埽,pùn-sò,12300
8572,垃圾市場,糞埽市場,pùn-sò-tshī-tiûnn,12302
8573,垃圾車,糞埽車,pùn-sò-tshia,12303
8574,垃圾堆,糞堆,pùn-tui,12301
8575,垃圾桶,糞埽桶,pùn-sò-tháng,12304
8576,垃圾桶,糞埽籠,pùn-sò-láng,12305
8577,夜,夜,iā,3770
8578,夜,暝,mê/mî,10567
8579,夜工,夜勤,iā-khîn/iā-khûn,3815
8580,夜工,暝工,mê-kang/mî-kang,10571
8581,夜市,夜市,iā-tshī,3788
8582,夜市場,夜市,iā-tshī,3788
8583,夜色,夜色,iā-sik,52411
8584,夜車,暝車,mê-tshia/mî-tshia,10576
8585,夜來香,月來香,gue̍h-lâi-hiong/ge̍h-lâi-hiong,964
8586,夜盲症,雞仔目,ke-á-ba̍k/kue-á-ba̍k,12703
8587,夜校,暗學仔,àm-o̍h-á,9655
8588,夜晚,暗時,àm-sî,9628
8589,夜晚,暗暝,àm-mê/àm-mî,9650
8590,夜晚,暝時,mê--sî/mî--sî,10583
8591,夜景,夜景,iā-kíng,3812
8592,夜間,夜間,iā-kan,54116
8593,夜間部,夜間部,iā-kan-pōo,3814
8594,夜勤,夜勤,iā-khîn/iā-khûn,3815
8595,夜裡,暗時,àm-sî,9628
8596,夜路,暗路,àm-lōo,9648
8597,夜貓子,暗光鳥,àm-kong-tsiáu,9615
8598,夜鴞,貓頭鳥,niau-thâu-tsiáu,11977
8599,夜總會,夜總會,iā-tsóng-huē,52688
8600,夜鷺,暗光鳥,àm-kong-tsiáu,9615
8601,奇,奇,kî,3772
8602,奇,奇,khia,3773
8603,奇幻,奇幻,kî-huàn,51648
8604,奇妙,有神,ū-sîn,2527
8605,奇妙,奇巧,kî-khá,3789
8606,奇妙,奇妙,kî-miāu,3795
8607,奇岩,奇岩,Kî-giâm,36019
8608,奇怪,奇,kî,3772
8609,奇怪,奇怪,kî-kuài,3798
8610,奇武卒,奇武卒,Kî-bú-tsut,40101
8611,奇美,奇美,Kî-bí,52161
8612,奇異,奇異,kî-ī,53041
8613,奇萊主山北峰,奇萊主山北峰,Kî-lâi-tsú-suann-pak-hong,32028
8614,奇數,奇數,khia-sòo,3818
8615,奇蹟,奇蹟,kî-tsik,3819
8616,奈何,奈何,nāi-hô,54118
8617,奈何不了他,無法伊,bô-huat--i,8636
8618,奉天宮,奉天宮,Hōng-thian-kiong,39017
8619,奉承,扶挺,phôo-thánn,3188
8620,奉茶,奉茶,hōng-tê,3804
8621,奉送,奉送,hōng-sàng,3805
8622,奉勸,奉勸,hōng-khǹg,53040
8623,奉獻,奉獻,hōng-hiàn,54117
8624,奔忙,傱,tsông,9314
8625,奔走,走傱,tsáu-tsông,3491
8626,奔走,傱,tsông,9314
8627,奔走,運動,ūn-tōng,10240
8628,奔走,奔走,phun-tsáu,53556
8629,奔波,捙跋反,tshia-pua̍h-píng,6070
8630,奔波,奔波,phun-pho,51972
8631,奔喪,哭路頭,khàu-lōo-thâu,5865
8632,妯娌,同姒仔,tâng-sāi-á,2193
8633,妹,妹,muē/bē,3774
8634,妹婿,妹婿,muē-sài/bē-sài,3811
8635,妻,妻,tshe,3775
8636,妻大姊,某大姊,bóo-tuā-tsí,5097
8637,妻子,某,bóo,5083
8638,妻子,某囝,bóo-kiánn,5108
8639,妻子,家後,ke-āu,5942
8640,妻子,婦,hū,7159
8641,妻子,牽的,khan--ê,7620
8642,妻子,娘囝,niû-kiánn,13637
8643,妻子外公,丈人公,tiūnn-lâng-kong,227
8644,妻子外婆,丈人媽,tiūnn-lâng-má,231
8645,妻子奶奶,丈人媽,tiūnn-lâng-má,231
8646,妻子姊妹,姨仔,î-á,4844
8647,妻子爺爺,丈人公,tiūnn-lâng-kong,227
8648,妻小,某囝,bóo-kiánn,5108
8649,妻兒,某囝,bóo-kiánn,5108
8650,妻舅,妻舅,tshe-kū,3817
8651,妾,二房,jī-pâng/lī-pâng,115
8652,妾,如夫人,jû-hu-jîn/lû-hu-lîn,2311
8653,妾,妾,tshiap,3776
8654,姊,姊,tsé,3778
8655,姊,姊,tsí,3779
8656,姊夫,姊夫,tsí-hu,3785
8657,姊妹,姊妹,tsí-muē/tsí-bē,3796
8658,姊妹淘,姊妹仔伴,tsí-muē-á-phuānn/tsí-bē-á-phuānn,3797
8659,姊姊,姊仔,tsí--á,3787
8660,姊姊,阿姊,a-tsí,4571
8661,始祖,開基祖,khai-ki-tsóo,9209
8662,姐母,姐母,Tsiá-bó,3790
8663,姐妹,姊妹,tsí-muē/tsí-bē,3796
8664,姑,姑,koo,3780
8665,姑丈,姑丈,koo-tiūnn,3783
8666,姑丈,阿丈,a-tiūnn,4521
8667,姑公,丈公,tiūnn-kong,245
8668,姑父,姑丈,koo-tiūnn,3783
8669,姑且,罔,bóng,4431
8670,姑且,暫且,tsiām-tshiánn,11150
8671,姑且走走,罔行,bóng kiânn,4451
8672,姑且餵養,罔育,bóng io,4453
8673,姑且餵養,罔飼,bóng-tshī,4482
8674,姑母,阿姑,a-koo,4572
8675,姑姑,姑姨,koo-î,3800
8676,姑姑,阿姑,a-koo,4572
8677,姑表親,姑表,koo-piáu,3799
8678,姑娘,小姐,sió-tsiá,362
8679,姑娘,姑娘,koo-niû,3803
8680,姑婆,姑婆,koo-pô,3809
8681,姑婆先生,丈公,tiūnn-kong,245
8682,姑媽,阿姑,a-koo,4572
8683,姑媽子女,姑表,koo-piáu,3799
8684,姑嫂婚,姑換嫂,koo-uānn-só,3813
8685,姑爺,姑爺,koo-iâ,3816
8686,姓,姓,sènn/sìnn,3781
8687,姓,姓,sìng,3782
8688,姓氏,毛,môo,821
8689,姓名,名字,miâ-jī/miâ-lī,2171
8690,姓名,姓名,sènn-miâ/sìnn-miâ,52412
8691,委任,委任,uí-jīm/uí-līm,3791
8692,委任,委託,uí-thok,3806
8693,委曲,冤屈,uan-khut,5760
8694,委屈,克虧,khik-khui,2951
8695,委屈,委屈,uí-khut,54119
8696,委員,委員,uí-uân,3801
8697,委託,委任,uí-jīm/uí-līm,3791
8698,委託,委託,uí-thok,3806
8699,孟宗竹,貓兒竹,bâ-jî-tik/bâ-lî-tik,11955
8700,季,季,kuì,3821
8701,季刊,季刊,kuì-khan,54120
8702,季軍,季軍,kuì-kun,51649
8703,季節,季節,kuì-tseh/kuì-tsueh,3870
8704,孤,孤,koo,3822
8705,孤立,孤立,koo-li̍p,53042
8706,孤兒,孤兒,koo-jî/koo-lî,3851
8707,孤單,孤單,koo-tuann,3864
8708,孤單,孤獨,koo-to̍k,3881
8709,孤魂野鬼,好兄弟,hó-hiann-tī,2315
8710,孤魂野鬼,老大公,lāu-tuā-kong,2629
8711,孤僻,各馝,kok-pih,2252
8712,孤僻,孤𣮈,koo-khu̍t,3837
8713,孤僻,孤獨,koo-ta̍k,3880
8714,孤獨,孤獨,koo-to̍k,3881
8715,宗旨,宗旨,tsong-tsí,3849
8716,宗祠,宗祠,tsong-sû,3860
8717,宗祠,祖厝,tsóo-tshù,6417
8718,宗祠,祖廟,tsóo-biō,6439
8719,宗教,宗教,tsong-kàu,3862
8720,宗教合稱,三教,sam-kàu,438
8721,宗族分系,房頭,pâng-thâu,4169
8722,宗親,宗親,tsong-tshin,3882
8723,宗親,祧仔內,thiāu-á-lāi,7723
8724,官,官,kuan,3823
8725,官,官,kuann,3824
8726,官方,官方,kuann-hong,51809
8727,官司,官司,kuann-si,3846
8728,官田鄉,官田區,Kuann-tiān-khu,35229
8729,官田溪,官田溪,Kuann-tiān-khe,38040
8730,官吏,官員,kuann-uân,3856
8731,官吏,官僚,kuann-liâu,3876
8732,官佃,官佃,Kuann-tiān,40103
8733,官兵,官兵,kuann-ping,53043
8734,官員,官員,kuann-uân,3856
8735,官員,官僚,kuann-liâu,3876
8736,官場,官場,kuann-tiûnn,3865
8737,官腔,官話,kuann-uē,3874
8738,官話,官話,kuann-uē,3874
8739,官僚,大官虎,tuā-kuann-hóo,367
8740,官僚,官僚,kuann-liâu,3876
8741,官職,官職,kuann-tsit,3885
8742,定,定,tiānn,3825
8743,定,定,tīng,3826
8744,定光佛廟,定光佛廟,Tīng-kong-hu̍t-biō,39018
8745,定存,定存,tīng-tsûn,51650
8746,定位,定位,tīng-uī,50434
8747,定住,定去,tiānn--khì,3847
8748,定形,定性,tīng-sìng,3853
8749,定居,定居,tīng-ki/tīng-ku,51973
8750,定性,定性,tīng-sìng,3853
8751,定金,定銀,tiānn-gîn/tiānn-gûn,3878
8752,定型,死性,sí-sìng,2500
8753,定律,定律,tīng-lu̍t,52689
8754,定時,有時有陣,ū-sî-ū-tsūn,2519
8755,定時,定時,tīng-sî,51651
8756,定案,定案,tīng-àn,3859
8757,定速,定速,tīng-sok,52413
8758,定期,定期,tīng-kî,3866
8759,定罪,定罪,tīng-tsuē,3871
8760,定義,定義,tīng-gī,50542
8761,定價,定價,tīng-kè,3879
8762,定論,定論,tīng-lūn,53557
8763,定點,定點,tīng-tiám,54121
8764,定額,在額,tsāi-gia̍h,2273
8765,定額,定額,tīng-gia̍h,52414
8766,定讞,定案,tīng-àn,3859
8767,宜蘭,宜蘭,Gî-lân,34136
8768,宜蘭市,宜蘭市,Gî-lân-tshī,35057
8769,宜蘭河,宜蘭河,Gî-lân-hô,38003
8770,宜蘭縣,宜蘭縣,Gî-lân-kuān,35056
8771,尚,尚,Siōng,41079
8772,尚且,猶,iáu,8597
8773,尚可,花花仔,hue-hue--á,4463
8774,尚未,未曾,buē-tsîng/bē-tsîng,1785
8775,尚未,未曾未,buē-tsîng-buē/bē-tsîng-bē,1786
8776,尚未,猶未,iáu-buē/iáu-bē,8621
8777,屄,膣屄,tsi-bai,11348
8778,居心,用心,iōng-sim,1880
8779,居民,居民,ki-bîn/ku-bîn,50248
8780,居所,住所,tsū-sóo,2912
8781,居首,徛頭,khiā-thâu,7304
8782,居然,竟然,kìng-jiân/kìng-liân,7733
8783,屆,屆,kài,3827
8784,屆時,到時,kàu-sî,3670
8785,屈,屈,khut,3828
8786,屈服,屈服,khut-ho̍k,53558
8787,岡山,岡山,Kong-san,34067
8788,岡山鎮,岡山區,Kong-san-khu,35259
8789,岩石,岩石,gâm-tsio̍h,53559
8790,岳丈,丈人,tiūnn-lâng,218
8791,岳丈,丈人爸,tiūnn-lâng-pâ,229
8792,岳父,丈人,tiūnn-lâng,218
8793,岳父,丈人爸,tiūnn-lâng-pâ,229
8794,岳母,丈姆,tiūnn-ḿ,357
8795,岳母,丈姆婆,tiūnn-ḿ-pô,364
8796,岸,岸,huānn,3830
8797,岸邊,岸邊,huānn-pinn,54122
8798,帕巾,帕仔,phè-á,3841
8799,帖,帖,thiap,3832
8800,幸,幸,hīng,3833
8801,幸好,好佳哉,hó-ka-tsài,2344
8802,幸好,佳哉,ka-tsài,3568
8803,幸災樂禍,樂暢,lo̍k-thiòng,11171
8804,幸運,幸運,hīng-ūn,3875
8805,幸福,幸福,hīng-hok,3877
8806,幸虧,好佳哉,hó-ka-tsài,2344
8807,幸虧,佳哉,ka-tsài,3568
8808,底,底,té/tué,3834
8809,底下,下底,ē-té/ē-tué,365
8810,底下,下跤,ē-kha,486
8811,底片,底片,té-phìnn/tué-phìnn,3840
8812,底事,底代,tī-tāi,3843
8813,底細,來路,lâi-lōo,3582
8814,底細,底系,té-hē/tué-hē,3850
8815,底細,底細,té-sè/tué-suè,3863
8816,底部,底部,té-pōo/tué-pōo,50923
8817,底價,底價,té-kè/tué-kè,51294
8818,底盤,底盤,té-puânn/tué-puânn,52162
8819,底線,底線,té-suànn/tué-suànn,54123
8820,底薪,底薪,té-sin/tué-sin,53560
8821,店主,店主,tiàm-tsú,3844
8822,店主,店頭家,tiàm-thâu-ke,3884
8823,店仔口,店仔口,Tiàm-á-kháu,40102
8824,店名,字號,jī-hō/lī-hō,2396
8825,店名,店號,tiàm-hō,3873
8826,店東,店主,tiàm-tsú,3844
8827,店東,店頭家,tiàm-thâu-ke,3884
8828,店長,店長,tiàm-tiúnn,51810
8829,店面,店面,tiàm-bīn,3855
8830,店面,店頭,tiàm-thâu,3883
8831,店員,辛勞,sin-lô,3481
8832,店員,店員,tiàm-uân,3857
8833,店舖,店,tiàm,3836
8834,庚,庚,kenn/kinn,3886
8835,庚,庚,king,3887
8836,府,府,hú,3888
8837,府中,府中,Hú-tiong,36061
8838,府城,府城,Hú-siânn,3926
8839,延,延,tshiân,3889
8840,延平鄉,延平鄉,Iân-pîng-hiong,35326
8841,延伸,延伸,iân-sin,50663
8842,延長,伸,sin,2869
8843,延長,延長,iân-tn̂g,50693
8844,延長期限,限,ān,5523
8845,延長還帳期限,限數,ān-siàu,5569
8846,延後,延遲,iân-tî,3942
8847,延後,延後,iân-āu,51974
8848,延期,寬限,khuan-hān,11072
8849,延期,延期,iân-kî,53044
8850,延誤,延誤,iân-gōo,52415
8851,延燒,延燒,iân-sio,54124
8852,延遲,延遲,iân-tî,3942
8853,延續,延續,iân-sio̍k,50924
8854,弦月,月眉,gue̍h-bâi/ge̍h-bâi,1008
8855,弦外之音,尾聲,bué-siann/bé-siann,3137
8856,弦樂,弦樂,hiân-ga̍k,51044
8857,彼處,彼搭,hit-tah,3936
8858,往,往,íng,3892
8859,往,往,óng,3893
8860,往,對,uì,10476
8861,往上翹,翹翹,khiàu-khiàu,12619
8862,往日,往日,óng-ji̍t/óng-li̍t,3906
8863,往生,曲去,khiau--khì,2477
8864,往生,往生,óng-sing,3912
8865,往回走,倒頭行,tò-thâu-kiânn,5798
8866,往年,往年,óng-nî,3914
8867,往事,往事,óng-sū,51975
8868,往來,交插,kau-tshap,2089
8869,往來,來往,lâi-óng,3565
8870,往來,鬥陣,tàu-tīn,6879
8871,往來,做伙,tsò-hué/tsuè-hé,6971
8872,往來,往來,óng-lâi,50826
8873,往往,串,tshuàn,2864
8874,往返,往復,óng-ho̍k,3933
8875,往前,向前,hiòng-tsiân,2201
8876,往復,往復,óng-ho̍k,3933
8877,征服,征服,tsing-ho̍k,52416
8878,忠,忠,tiong,3895
8879,忠心,死忠,sí-tiong,2499
8880,忠孝復興,忠孝復興,Tiong-hàu Ho̍k-hing,36003
8881,忠孝敦化,忠孝敦化,Tiong-hàu Tun-huà,36051
8882,忠孝新生,忠孝新生,Tiong-hàu Sin-sing,36053
8883,忠直,忠直,tiong-ti̍t,3924
8884,忠厚,古意,kóo-ì,1576
8885,忠厚,忠厚,tiong-hōo,3925
8886,忠厚,誠懇,sîng-khún,10166
8887,忠義,忠義,Tiong-gī,36016
8888,忠誠,忠誠,tiong-sîng,52690
8889,忠實,忠實,tiong-si̍t,51516
8890,念,念,liām,3896
8891,念咒,念咒,liām-tsiù,3918
8892,念珠,念珠,liām-tsu,3930
8893,念經,念經,liām-king,3937
8894,念頭,念頭,liām-thâu,50978
8895,忽略,忽略,hut-lio̍k,50449
8896,忽然,忽然,hut-jiân/hut-liân,3935
8897,忽然,突然,tu̍t-jiân/tu̍t-liân,5365
8898,忽視,忽視,hut-sī,50827
8899,怕,掣,tshuah,8374
8900,怕,驚,kiann,13313
8901,怕生,驚生份,kiann-senn-hūn/kiann-sinn-hūn,13324
8902,怕死,驚死,kiann-sí,13326
8903,怕冷,畏寒,uì-kuânn,5292
8904,怕怕,膽膽,tám-tám,12376
8905,怕羞,驚見笑,kiann-kiàn-siàu,13333
8906,怕痛,惜皮,sioh-phuê/sioh-phê,7263
8907,怕熱,畏熱,uì-jua̍h/uì-lua̍h,5302
8908,性,性,sìng,3898
8909,性交,相姦,sio-kàn,5272
8910,性別,性別,sìng-pia̍t,50517
8911,性侵害,侮辱,bú-jio̍k/bú-lio̍k,4696
8912,性急,緊性,kín-sìng,10797
8913,性格,性格,sìng-keh,3929
